ITEM   	 BF_TK 	 BF_TP 	 SLBF  	 MLBF  	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
alleyway	 116.56	  16.14	  10.36	   1.48	   8	   0	   1	-1	-1	-1	-1	
alleyways	  61.54	  16.13	  10.21	   1.28	   9	   0	   1	-1	-1	-1	-1	
alliance	 547.33	  42.14	  18.19	   2.60	   8	   0	   2	-1	-1	-1	-1	
allotment	 535.89	  46.75	  18.37	   2.30	   9	   0	   1	 486	-1	 470	-1	
allotments	 225.13	  42.00	  18.31	   2.03	  10	   0	   1	-1	-1	-1	-1	
allusion	 655.13	  49.14	  18.32	   2.62	   8	   1	   3	-1	-1	-1	-1	
allusions	 348.53	  47.63	  18.74	   2.34	   9	   1	   2	-1	-1	-1	-1	
almanac	 237.25	  18.17	  10.92	   1.82	   7	   0	   0	-1	-1	-1	-1	
alms	 392.17	  10.00	   5.90	   1.97	   4	   6	   9	-1	-1	-1	-1	
alpaca	 318.97	  13.40	   8.02	   1.60	   6	   0	   0	-1	-1	-1	-1	
alphabet	 198.36	  16.43	  13.61	   1.94	   8	   0	   0	 244	-1	 499	-1	
altitudes	 434.89	  68.75	  17.76	   2.22	   9	   2	   3	-1	-1	-1	-1	
amalgam	 160.75	  15.17	  10.42	   1.74	   7	   0	   0	-1	-1	-1	-1	
amateurs	 310.74	  56.43	  14.80	   2.11	   8	   0	   1	-1	-1	-1	-1	
amazement	 546.98	  44.50	  17.47	   2.18	   9	   0	   0	-1	 414	 456	-1	
amazons	 364.32	  38.83	  11.66	   1.94	   7	   0	   1	-1	-1	-1	-1	
ambition	 945.00	  82.29	  17.94	   2.56	   8	   0	   1	 483	-1	 346	-1	
ambitions	 540.23	  56.63	  20.06	   2.51	   9	   1	   1	-1	-1	-1	-1	
ambulance	 287.82	  43.00	  17.77	   2.22	   9	   0	   0	-1	-1	 627	-1	
ambushes	 534.26	  93.43	  15.87	   2.27	   8	   1	   1	-1	-1	-1	-1	
amendment	 536.12	  44.88	  17.88	   2.24	   9	   0	   1	 597	-1	 305	-1	
amendments	 227.36	  41.11	  16.74	   1.86	  10	   0	   1	-1	-1	-1	-1	
ammonia	  90.05	  15.83	  10.93	   1.82	   7	   0	   0	-1	-1	-1	-1	
amnesia	 143.46	  14.00	  10.53	   1.75	   7	   0	   0	-1	-1	-1	-1	
amnesty	 323.52	  25.33	  12.70	   2.12	   7	   0	   0	-1	-1	-1	-1	
amp	   0.89	   1.50	  -0.26	  -0.13	   3	   1	   6	-1	-1	-1	-1	
amphibians	 162.73	  26.44	  16.64	   1.85	  10	   0	   1	-1	-1	-1	-1	
amplitude	 299.41	  39.50	  18.47	   2.31	   9	   0	   0	 650	-1	 389	-1	
amps	  65.72	  11.33	   3.67	   1.22	   4	   2	   7	-1	-1	-1	-1	
amulet	 621.34	  55.20	  11.77	   2.35	   6	   0	   1	-1	-1	-1	-1	
amulets	 497.85	  65.00	  13.77	   2.29	   7	   0	   1	-1	-1	-1	-1	
amusement	 601.50	  52.75	  19.54	   2.44	   9	   0	   1	-1	 357	-1	 533	
amusements	 233.84	  44.56	  17.49	   1.94	  10	   0	   1	-1	-1	-1	-1	
analogues	 387.68	  64.63	  16.93	   2.12	   9	   1	   1	-1	-1	-1	-1	
analyst	 508.82	  33.33	  13.13	   2.19	   7	   1	   2	-1	-1	-1	-1	
analysts	 367.91	  45.43	  16.44	   2.35	   8	   2	   2	-1	-1	-1	-1	
